label,avg_x,avg_y,com_x,com_y,major_minor,mass
6,52.05274452224983,352.7890783826519,52.04552733323455,352.7961988719626,1.4968152866242037,17708
17,47.78181818181818,953.4545454545455,47.77918300512776,953.4408583617012,4.4,55
18,92.02929493545184,213.4170804369414,91.969750347628,213.4208520451796,0.6704545454545454,2014
20,56.86274509803921,475.37254901960785,56.86593089317314,475.36083170345535,2.2,51
38,134.92105263157896,436.2473684210526,134.918138404589,436.22460839997365,1.894736842105263,380
40,167.529713866471,438.19589141599414,167.50478720764073,438.17714975883274,1.75,1363
45,180.7982456140351,242.73684210526315,180.80231111111112,242.7363450980392,0.7058823529411765,114
47,178.2439024390244,353.7682926829268,178.2482674982675,353.76617001617,1.0,82
48,180.47540983606558,273.42622950819674,180.48194159585898,273.42056841488426,1.2222222222222223,61
50,197.23880597014926,465.4179104477612,197.2410954000358,465.41419366386253,1.75,67
57,508.4890915011397,237.5395636600456,508.8359587172772,237.17167525790506,0.9375,3071
59,488.175,303.3666666666667,488.13575012641485,303.35232797852893,0.5294117647058824,120
65,523.9879931389365,728.3962264150944,523.9282685766301,728.3925645570833,0.5510204081632653,583
67,521.6372549019608,689.7107843137255,521.6528663340868,689.707412524351,0.875,204
73,613.5816678152997,856.1100103376981,614.0670813047822,855.8977092385031,0.6995073891625616,11608
80,647.0966292134832,801.6982343499197,648.0435305837021,801.6802678520232,0.07881773399014778,3115
81,555.927927927928,670.3783783783783,555.9275654564173,670.3839932925082,0.6111111111111112,111
84,673.8585266585267,726.6396011396012,674.2879322271544,727.4594551454873,1.0,24570
91,590.5697674418604,887.4854651162791,590.5598638556605,887.4674377106602,4.083333333333333,344
108,693.6254416961131,326.6183745583039,693.5355284536125,326.55813915225303,0.6428571428571429,283
115,735.8780487804878,604.4512195121952,735.8774931644841,604.4876672902576,4.8,82
119,754.8965517241379,969.1527093596059,754.886449556682,969.170342617865,1.3333333333333333,203
123,787.5527950310559,316.81366459627327,787.5740322175582,316.82058981810354,0.5588235294117647,322
137,932.0996561668145,799.8291370896185,932.2421514385661,799.9291077320273,2.3059701492537314,18032
142,894.3813559322034,180.55084745762713,894.4050483977813,180.56694120089776,0.8235294117647058,118
146,910.1037234042553,166.16489361702128,910.1100079109035,166.1705448634751,1.3636363636363635,376
147,903.6451612903226,571.6612903225806,903.6460292731714,571.6642047967996,3.0,62
153,912.6607142857143,669.0714285714286,912.6660195796021,669.07973782537,1.3333333333333333,56
157,918.5234899328859,592.496644295302,918.5283778721279,592.5191683316683,1.8181818181818181,149
160,937.6047008547008,913.5320512820513,937.5663117615634,913.5666993825397,1.1428571428571428,468
163,937.3065476190476,182.17857142857142,937.2952406866527,182.14194932767552,1.9444444444444444,336
164,950.6029292107404,582.2758340113913,950.6450794512539,582.2309486884042,2.0,1229
170,951.9736842105264,188.0921052631579,951.9829379116858,188.12079165650158,2.142857142857143,76
171,953.9318181818181,222.3409090909091,953.931770749719,222.33267779739927,2.875,88
172,957.990990990991,287.31531531531533,957.9919341392247,287.329272613589,1.25,111
173,959.3907284768212,205.71523178807948,959.3982002680452,205.71394983725827,1.5,151
178,963.2439024390244,308.349593495935,963.2520141676505,308.3274616292798,1.7,123
180,973.5090909090909,329.6181818181818,973.5122496804431,329.63208351086496,2.6,55
181,977.7612612612612,363.3873873873874,977.7476573452373,363.35926679385693,2.0,222
